"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-109.917","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0000794-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-99.8016","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0000795-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-94.0194","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0000796-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-73.7265","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0000798-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-108.9579","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0000799-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-154.9533","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0000801-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-138.7452","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0000802-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-134.343","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0000803-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-124.1724","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0000804-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-165.5655","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0000805-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-173.673","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0000806-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-179.3931","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0000807-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-174.5148","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0000809-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-232.5921","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0000810-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-276.1242","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0000811-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-92.2047","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0000812-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-42.3591","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0000813-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-27.0687","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0000815-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-21.7143","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0000816-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-37.6395","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0000818-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-37.467","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0000819-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-79.2051","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0000820-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-46.7406","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0000821-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-23.7084","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0000822-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-30.8637","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0000823-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-29.5734","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0000824-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-5.8926","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0000825-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
