"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-3.7018","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","AMEX-BLKU-0000801-MISC","AMEX","Bank Charge","AL Jazeerah BankAJAWEED"
"-3.1912","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","AMEX-BLKU-0000823-MISC","AMEX","Bank Charge","AL Jazeerah BankAJAWEED"
"-109.917","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0000794-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-99.8016","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0000795-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-94.0194","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0000796-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-73.7265","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0000798-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-108.9579","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0000799-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-154.9533","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0000801-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-138.7452","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0000802-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-134.343","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0000803-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-124.1724","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0000804-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-165.5655","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0000805-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-173.673","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0000806-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-179.3931","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0000807-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-174.5148","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0000809-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-232.5921","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0000810-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-276.1242","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0000811-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
"-92.2047","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0000812-MISC","Mada","Bank Charge","AL Jazeerah BankAJAWEED"
