"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-13.0888","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0000836-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-36.0136","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0000837-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-46.4992","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0000838-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-18.751","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0000839-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-14.662","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0000840-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-42.4069","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0000841-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-18.337","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0000842-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-19.296","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0000843-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-18.6385","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0000844-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-44.2823","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0000845-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-12.7617","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0000846-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-28.3954","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0000847-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-54.1935","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0000848-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-62.8482","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0000849-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-46.6854","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0000850-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-18.3341","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0000851-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-9.964","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0000852-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-13.0447","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0000853-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-48.2795","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0000854-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-55.7693","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0000855-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-14.1813","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0000856-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-30.5939","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0000857-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-4.3484","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0000858-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-2.2724","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0000859-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-3.933","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0000860-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-37.6076","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0000862-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
"-27.6649","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0000863-MISC","Visa","Bank Charge","157-95017321-JEDANDLUS2"
