"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-37.5164","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0000966-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-28.689","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0000967-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-97.298","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0000968-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-105.6447","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0000970-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.2033","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0000972-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-107.7205","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0000973-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-70.2696","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0000975-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-15.5135","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0000978-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-53.7947","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0000979-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-51.4567","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0000981-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-82.7241","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0000982-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-57.5092","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0000984-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-41.6461","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0000985-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.2076","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0000986-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-103.9623","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0000988-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-36.5987","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0000992-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.5535","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0000993-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.8806","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0000994-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-42.2579","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0000995-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-25.2804","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0000996-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-8.6089","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0001452-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-25.2367","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0000998-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-17.4363","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0000999-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-38.0627","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0001000-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.6431","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0001001-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-18.8347","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001002-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-4.3481","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0001004-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
