"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-51.1497","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0000926-MISC","Mada","Bank Charge","015795017321048"
"-36.6597","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0000927-MISC","Mada","Bank Charge","015795017321048"
"-41.8071","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0000928-MISC","Mada","Bank Charge","015795017321048"
"-27.2136","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0000929-MISC","Mada","Bank Charge","015795017321048"
"-48.7209","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0000930-MISC","Mada","Bank Charge","015795017321048"
"-55.3311","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0000931-MISC","Mada","Bank Charge","015795017321048"
"-58.4085","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0000932-MISC","Mada","Bank Charge","015795017321048"
"-33.6996","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0000933-MISC","Mada","Bank Charge","015795017321048"
"-109.0131","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0000934-MISC","Mada","Bank Charge","015795017321048"
"-36.4527","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0000935-MISC","Mada","Bank Charge","015795017321048"
"-54.2064","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0000936-MISC","Mada","Bank Charge","015795017321048"
"-59.064","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0000937-MISC","Mada","Bank Charge","015795017321048"
"-31.5261","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0000938-MISC","Mada","Bank Charge","015795017321048"
"-55.3311","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0000939-MISC","Mada","Bank Charge","015795017321048"
"-68.1858","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0000940-MISC","Mada","Bank Charge","015795017321048"
"-18.216","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0000941-MISC","Mada","Bank Charge","015795017321048"
"-1.9389","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0000942-MISC","Mada","Bank Charge","015795017321048"
"-14.3658","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0000943-MISC","Mada","Bank Charge","015795017321048"
"-10.1568","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0000944-MISC","Mada","Bank Charge","015795017321048"
"-5.1474","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0000945-MISC","Mada","Bank Charge","015795017321048"
"-20.0031","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0000946-MISC","Mada","Bank Charge","015795017321048"
"-27.4206","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0000947-MISC","Mada","Bank Charge","015795017321048"
"-20.0652","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0000948-MISC","Mada","Bank Charge","015795017321048"
"-13.9311","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0000949-MISC","Mada","Bank Charge","015795017321048"
"-11.4264","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0000950-MISC","Mada","Bank Charge","015795017321048"
"-19.941","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0000951-MISC","Mada","Bank Charge","015795017321048"
"-8.8872","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0000952-MISC","Mada","Bank Charge","015795017321048"
