"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-22.8114","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0000928-MISC","Master","Bank Charge","015795017321048"
"-3.2775","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0000931-MISC","Master","Bank Charge","015795017321048"
"-6.5331","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0000934-MISC","Master","Bank Charge","015795017321048"
"-28.6453","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0000937-MISC","Master","Bank Charge","015795017321048"
"-24.5375","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0000939-MISC","Master","Bank Charge","015795017321048"
"-730.1177","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0000941-MISC","Master","Bank Charge","015795017321048"
"-19.5776","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0000942-MISC","Master","Bank Charge","015795017321048"
"-29.6067","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0000943-MISC","Master","Bank Charge","015795017321048"
"-44.0714","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0000945-MISC","Master","Bank Charge","015795017321048"
"-15.2294","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0000947-MISC","Master","Bank Charge","015795017321048"
"-9.8107","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0000948-MISC","Master","Bank Charge","015795017321048"
"-10.9031","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0000949-MISC","Master","Bank Charge","015795017321048"
"-9.2862","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0000952-MISC","Master","Bank Charge","015795017321048"
