"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-69.7245","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001012-MISC","Mada","Bank Charge","015795017321053"
"-70.3938","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001013-MISC","Mada","Bank Charge","015795017321053"
"-58.2498","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001014-MISC","Mada","Bank Charge","015795017321053"
"-63.0729","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001015-MISC","Mada","Bank Charge","015795017321053"
"-70.8837","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001016-MISC","Mada","Bank Charge","015795017321053"
"-118.2453","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001017-MISC","Mada","Bank Charge","015795017321053"
"-91.3353","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001018-MISC","Mada","Bank Charge","015795017321053"
"-35.6937","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001019-MISC","Mada","Bank Charge","015795017321053"
"-81.696","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001020-MISC","Mada","Bank Charge","015795017321053"
"-110.0136","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001021-MISC","Mada","Bank Charge","015795017321053"
"-122.0748","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001022-MISC","Mada","Bank Charge","015795017321053"
"-131.4519","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001023-MISC","Mada","Bank Charge","015795017321053"
"-112.6494","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001024-MISC","Mada","Bank Charge","015795017321053"
"-99.5877","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001025-MISC","Mada","Bank Charge","015795017321053"
"-85.2771","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001026-MISC","Mada","Bank Charge","015795017321053"
"-16.0563","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001027-MISC","Mada","Bank Charge","015795017321053"
"-4.8093","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001028-MISC","Mada","Bank Charge","015795017321053"
"-14.6625","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001029-MISC","Mada","Bank Charge","015795017321053"
"-8.4732","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001030-MISC","Mada","Bank Charge","015795017321053"
"-8.5974","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001031-MISC","Mada","Bank Charge","015795017321053"
"-11.5161","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001032-MISC","Mada","Bank Charge","015795017321053"
"-10.6743","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001033-MISC","Mada","Bank Charge","015795017321053"
"-13.0203","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001034-MISC","Mada","Bank Charge","015795017321053"
"-8.4801","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001035-MISC","Mada","Bank Charge","015795017321053"
"-12.9237","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001036-MISC","Mada","Bank Charge","015795017321053"
"-4.9542","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001037-MISC","Mada","Bank Charge","015795017321053"
"-14.9109","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001038-MISC","Mada","Bank Charge","015795017321053"
"-6.5331","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001013-MISC","Master","Bank Charge","015795017321053"
"-8.1937","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001014-MISC","Master","Bank Charge","015795017321053"
"-6.5331","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001020-MISC","Master","Bank Charge","015795017321053"
"-10.8813","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001021-MISC","Master","Bank Charge","015795017321053"
