"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-42.9789","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001012-MISC","Visa","Bank Charge","015795017321053"
"-49.2717","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001013-MISC","Visa","Bank Charge","015795017321053"
"-32.1632","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001014-MISC","Visa","Bank Charge","015795017321053"
"-31.4421","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001015-MISC","Visa","Bank Charge","015795017321053"
"-50.4079","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001016-MISC","Visa","Bank Charge","015795017321053"
"-90.896","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001017-MISC","Visa","Bank Charge","015795017321053"
"-119.4758","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001018-MISC","Visa","Bank Charge","015795017321053"
"-26.3292","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001019-MISC","Visa","Bank Charge","015795017321053"
"-40.1822","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001020-MISC","Visa","Bank Charge","015795017321053"
"-69.1552","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001021-MISC","Visa","Bank Charge","015795017321053"
"-61.9884","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001022-MISC","Visa","Bank Charge","015795017321053"
"-73.7656","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001023-MISC","Visa","Bank Charge","015795017321053"
"-43.2848","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001024-MISC","Visa","Bank Charge","015795017321053"
"-69.483","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001025-MISC","Visa","Bank Charge","015795017321053"
"-23.5543","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001026-MISC","Visa","Bank Charge","015795017321053"
"-24.3846","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001027-MISC","Visa","Bank Charge","015795017321053"
"-15.2294","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001029-MISC","Visa","Bank Charge","015795017321053"
"-6.5331","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001030-MISC","Visa","Bank Charge","015795017321053"
"-4.3481","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001031-MISC","Visa","Bank Charge","015795017321053"
"-9.2425","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001032-MISC","Visa","Bank Charge","015795017321053"
"-3.496","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001033-MISC","Visa","Bank Charge","015795017321053"
"-13.1755","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001034-MISC","Visa","Bank Charge","015795017321053"
"-7.6038","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001035-MISC","Visa","Bank Charge","015795017321053"
"-4.3481","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001036-MISC","Visa","Bank Charge","015795017321053"
"-1.5295","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001037-MISC","Visa","Bank Charge","015795017321053"
"-10.8813","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001038-MISC","Visa","Bank Charge","015795017321053"
