"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-17.8514","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001041-MISC","Master","Bank Charge","015795017321054"
"-4.5667","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001042-MISC","Master","Bank Charge","015795017321054"
"-2.1194","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001044-MISC","Master","Bank Charge","015795017321054"
"-3.2556","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001046-MISC","Master","Bank Charge","015795017321054"
"-20.823","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001048-MISC","Master","Bank Charge","015795017321054"
"-10.5535","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001049-MISC","Master","Bank Charge","015795017321054"
"-41.0343","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001050-MISC","Master","Bank Charge","015795017321054"
"-14.5302","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001051-MISC","Master","Bank Charge","015795017321054"
"-17.1304","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001052-MISC","Master","Bank Charge","015795017321054"
"-19.4902","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0001054-MISC","Master","Bank Charge","015795017321054"
"-33.4742","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0001056-MISC","Master","Bank Charge","015795017321054"
"-20.2331","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001057-MISC","Master","Bank Charge","015795017321054"
"-36.9265","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0001058-MISC","Master","Bank Charge","015795017321054"
"-13.0881","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0001060-MISC","Master","Bank Charge","015795017321054"
"-13.0663","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0001061-MISC","Master","Bank Charge","015795017321054"
"-15.2076","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0001062-MISC","Master","Bank Charge","015795017321054"
"-4.3481","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0001063-MISC","Master","Bank Charge","015795017321054"
"-3.933","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0001065-MISC","Master","Bank Charge","015795017321054"
"-6.5331","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001069-MISC","Master","Bank Charge","015795017321054"
"-15.142","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0001070-MISC","Master","Bank Charge","015795017321054"
