"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-4.2124","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","AMEX-BLKU-0001090-MISC","AMEX","Bank Charge","015795017321040"
"-91.3353","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001085-MISC","Mada","Bank Charge","015795017321040"
"-94.461","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001086-MISC","Mada","Bank Charge","015795017321040"
"-89.2929","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001087-MISC","Mada","Bank Charge","015795017321040"
"-97.497","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001088-MISC","Mada","Bank Charge","015795017321040"
"-92.7429","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001089-MISC","Mada","Bank Charge","015795017321040"
"-79.9296","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001090-MISC","Mada","Bank Charge","015795017321040"
"-65.9157","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001091-MISC","Mada","Bank Charge","015795017321040"
"-43.263","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001092-MISC","Mada","Bank Charge","015795017321040"
"-39.0885","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001093-MISC","Mada","Bank Charge","015795017321040"
"-58.1877","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001094-MISC","Mada","Bank Charge","015795017321040"
"-32.9751","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001095-MISC","Mada","Bank Charge","015795017321040"
"-110.538","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001097-MISC","Mada","Bank Charge","015795017321040"
"-84.0627","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001098-MISC","Mada","Bank Charge","015795017321040"
"-93.4881","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001099-MISC","Mada","Bank Charge","015795017321040"
"-74.5476","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001100-MISC","Mada","Bank Charge","015795017321040"
"-28.1865","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001101-MISC","Mada","Bank Charge","015795017321040"
"-7.5555","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001102-MISC","Mada","Bank Charge","015795017321040"
