"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-91.3353","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001085-MISC","Mada","Bank Charge","015795017321040"
"-94.461","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001086-MISC","Mada","Bank Charge","015795017321040"
"-89.2929","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001087-MISC","Mada","Bank Charge","015795017321040"
"-97.497","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001088-MISC","Mada","Bank Charge","015795017321040"
"-92.7429","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001089-MISC","Mada","Bank Charge","015795017321040"
"-79.9296","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001090-MISC","Mada","Bank Charge","015795017321040"
"-65.9157","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001091-MISC","Mada","Bank Charge","015795017321040"
"-43.263","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001092-MISC","Mada","Bank Charge","015795017321040"
"-39.0885","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001093-MISC","Mada","Bank Charge","015795017321040"
"-58.1877","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001094-MISC","Mada","Bank Charge","015795017321040"
"-32.9751","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001095-MISC","Mada","Bank Charge","015795017321040"
"-110.538","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001097-MISC","Mada","Bank Charge","015795017321040"
"-84.0627","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001098-MISC","Mada","Bank Charge","015795017321040"
"-93.4881","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001099-MISC","Mada","Bank Charge","015795017321040"
"-74.5476","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001100-MISC","Mada","Bank Charge","015795017321040"
"-28.1865","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001101-MISC","Mada","Bank Charge","015795017321040"
"-7.5555","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001102-MISC","Mada","Bank Charge","015795017321040"
"-8.9217","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001103-MISC","Mada","Bank Charge","015795017321040"
"-5.8443","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001104-MISC","Mada","Bank Charge","015795017321040"
"-11.9508","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001105-MISC","Mada","Bank Charge","015795017321040"
"-14.6832","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001106-MISC","Mada","Bank Charge","015795017321040"
"-23.5497","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001107-MISC","Mada","Bank Charge","015795017321040"
"-14.8971","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001108-MISC","Mada","Bank Charge","015795017321040"
"-29.6631","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001109-MISC","Mada","Bank Charge","015795017321040"
"-30.0012","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001110-MISC","Mada","Bank Charge","015795017321040"
"-25.5645","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001111-MISC","Mada","Bank Charge","015795017321040"
"-21.8661","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001112-MISC","Mada","Bank Charge","015795017321040"
