"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-21.2324","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","AMEX-BLKU-0001167-MISC","AMEX","Bank Charge","015795017321014"
"-6.3399","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","AMEX-BLKU-0001169-MISC","AMEX","Bank Charge","015795017321014"
"-8.4674","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","AMEX-BLKU-0001180-MISC","AMEX","Bank Charge","015795017321014"
"-45.0501","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001165-MISC","Mada","Bank Charge","015795017321014"
"-42.2073","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001166-MISC","Mada","Bank Charge","015795017321014"
"-43.1388","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001167-MISC","Mada","Bank Charge","015795017321014"
"-48.0447","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001168-MISC","Mada","Bank Charge","015795017321014"
"-42.0072","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001169-MISC","Mada","Bank Charge","015795017321014"
"-56.5524","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001170-MISC","Mada","Bank Charge","015795017321014"
"-61.3479","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001171-MISC","Mada","Bank Charge","015795017321014"
"-33.8997","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001172-MISC","Mada","Bank Charge","015795017321014"
"-29.0283","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001173-MISC","Mada","Bank Charge","015795017321014"
"-68.4342","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001174-MISC","Mada","Bank Charge","015795017321014"
"-42.3798","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001175-MISC","Mada","Bank Charge","015795017321014"
"-53.5854","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001176-MISC","Mada","Bank Charge","015795017321014"
"-49.7904","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001177-MISC","Mada","Bank Charge","015795017321014"
"-43.5597","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001178-MISC","Mada","Bank Charge","015795017321014"
"-67.3992","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001179-MISC","Mada","Bank Charge","015795017321014"
"-34.2309","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001180-MISC","Mada","Bank Charge","015795017321014"
"-13.179","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001181-MISC","Mada","Bank Charge","015795017321014"
"-10.1361","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001182-MISC","Mada","Bank Charge","015795017321014"
"-5.0853","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001183-MISC","Mada","Bank Charge","015795017321014"
"-17.112","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001184-MISC","Mada","Bank Charge","015795017321014"
"-12.0612","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001185-MISC","Mada","Bank Charge","015795017321014"
"-10.8468","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001186-MISC","Mada","Bank Charge","015795017321014"
"-12.4614","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001187-MISC","Mada","Bank Charge","015795017321014"
"-22.4181","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001188-MISC","Mada","Bank Charge","015795017321014"
"-5.1819","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001189-MISC","Mada","Bank Charge","015795017321014"
"-4.8369","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001190-MISC","Mada","Bank Charge","015795017321014"
"-14.7039","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001191-MISC","Mada","Bank Charge","015795017321014"
