"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-32.2782","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0004033-MISC","Mada","Bank Charge","015795017321055"
"-26.5512","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0004034-MISC","Mada","Bank Charge","015795017321055"
"-29.3802","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0004035-MISC","Mada","Bank Charge","015795017321055"
"-26.0682","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0004036-MISC","Mada","Bank Charge","015795017321055"
"-19.4787","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0004037-MISC","Mada","Bank Charge","015795017321055"
"-26.7582","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0004038-MISC","Mada","Bank Charge","015795017321055"
"-27.6207","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0004039-MISC","Mada","Bank Charge","015795017321055"
"-24.9297","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0004040-MISC","Mada","Bank Charge","015795017321055"
"-26.2821","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0004041-MISC","Mada","Bank Charge","015795017321055"
"-24.771","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0004042-MISC","Mada","Bank Charge","015795017321055"
"-24.5985","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0004043-MISC","Mada","Bank Charge","015795017321055"
"-28.2762","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0004044-MISC","Mada","Bank Charge","015795017321055"
"-36.8874","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0004045-MISC","Mada","Bank Charge","015795017321055"
"-31.6572","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0004046-MISC","Mada","Bank Charge","015795017321055"
"-51.2877","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0004047-MISC","Mada","Bank Charge","015795017321055"
"-3.4914","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0004048-MISC","Mada","Bank Charge","015795017321055"
"-4.5954","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0004049-MISC","Mada","Bank Charge","015795017321055"
"-10.6329","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0004050-MISC","Mada","Bank Charge","015795017321055"
"-3.7743","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0004051-MISC","Mada","Bank Charge","015795017321055"
"-2.5461","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0004052-MISC","Mada","Bank Charge","015795017321055"
"-5.727","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0004053-MISC","Mada","Bank Charge","015795017321055"
"-17.1672","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0004054-MISC","Mada","Bank Charge","015795017321055"
"-20.7897","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0004055-MISC","Mada","Bank Charge","015795017321055"
"-10.3983","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0004056-MISC","Mada","Bank Charge","015795017321055"
"-8.3214","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0004057-MISC","Mada","Bank Charge","015795017321055"
"-4.0296","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0004058-MISC","Mada","Bank Charge","015795017321055"
"-9.8463","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0004059-MISC","Mada","Bank Charge","015795017321055"
"-4.3481","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0004033-MISC","Master","Bank Charge","015795017321055"
"-132.4328","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0004035-MISC","Master","Bank Charge","015795017321055"
"-13.0226","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0004037-MISC","Master","Bank Charge","015795017321055"
"-102.8479","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0004041-MISC","Master","Bank Charge","015795017321055"
"-13.0663","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0004042-MISC","Master","Bank Charge","015795017321055"
"-19.5557","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0004043-MISC","Master","Bank Charge","015795017321055"
"-68.019","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0004046-MISC","Master","Bank Charge","015795017321055"
"-8.7181","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0004047-MISC","Master","Bank Charge","015795017321055"
"-6.9046","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0004048-MISC","Master","Bank Charge","015795017321055"
"-10.7939","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0004051-MISC","Master","Bank Charge","015795017321055"
"-4.3481","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0004052-MISC","Master","Bank Charge","015795017321055"
"-12.0175","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0004053-MISC","Master","Bank Charge","015795017321055"
"-35.4188","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0004054-MISC","Master","Bank Charge","015795017321055"
"-17.4363","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0004055-MISC","Master","Bank Charge","015795017321055"
"-10.641","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0004056-MISC","Master","Bank Charge","015795017321055"
"-30.5026","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0004057-MISC","Master","Bank Charge","015795017321055"
"-8.7181","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0004059-MISC","Master","Bank Charge","015795017321055"
"-18.4851","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0004033-MISC","Visa","Bank Charge","015795017321055"
"-3.343","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0004034-MISC","Visa","Bank Charge","015795017321055"
"-10.8813","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0004035-MISC","Visa","Bank Charge","015795017321055"
"-17.4144","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0004036-MISC","Visa","Bank Charge","015795017321055"
"-7.1012","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0004037-MISC","Visa","Bank Charge","015795017321055"
"-6.5331","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0004038-MISC","Visa","Bank Charge","015795017321055"
"-7.6038","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0004039-MISC","Visa","Bank Charge","015795017321055"
"-13.4159","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0004040-MISC","Visa","Bank Charge","015795017321055"
"-28.3832","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0004041-MISC","Visa","Bank Charge","015795017321055"
"-7.1668","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0004042-MISC","Visa","Bank Charge","015795017321055"
"-28.8857","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0004043-MISC","Visa","Bank Charge","015795017321055"
"-20.1457","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0004044-MISC","Visa","Bank Charge","015795017321055"
"-37.0795","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0004045-MISC","Visa","Bank Charge","015795017321055"
"-61.617","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0004046-MISC","Visa","Bank Charge","015795017321055"
"-24.9964","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0004047-MISC","Visa","Bank Charge","015795017321055"
"-6.5331","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0004049-MISC","Visa","Bank Charge","015795017321055"
"-10.6846","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0004052-MISC","Visa","Bank Charge","015795017321055"
"-5.5936","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0004053-MISC","Visa","Bank Charge","015795017321055"
"-10.8594","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0004054-MISC","Visa","Bank Charge","015795017321055"
"-7.6038","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0004056-MISC","Visa","Bank Charge","015795017321055"
"-8.6963","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0004057-MISC","Visa","Bank Charge","015795017321055"
"-9.9854","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0004059-MISC","Visa","Bank Charge","015795017321055"
