"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-9.6163","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","AMEX-BLKU-0001304-MISC","AMEX","Bank Charge","0022555612015"
"-16.9774","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","AMEX-BLKU-0001305-MISC","AMEX","Bank Charge","0022555612015"
"-21.6154","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","AMEX-BLKU-0001313-MISC","AMEX","Bank Charge","0022555612015"
"-9.4461","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","AMEX-BLKU-0001314-MISC","AMEX","Bank Charge","0022555612015"
"-51.5982","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001303-MISC","Mada","Bank Charge","0022555612015"
"-47.7687","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001304-MISC","Mada","Bank Charge","0022555612015"
"-72.8985","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001305-MISC","Mada","Bank Charge","0022555612015"
"-49.5834","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001306-MISC","Mada","Bank Charge","0022555612015"
"-71.7945","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001307-MISC","Mada","Bank Charge","0022555612015"
"-72.0222","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001308-MISC","Mada","Bank Charge","0022555612015"
"-64.929","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001309-MISC","Mada","Bank Charge","0022555612015"
"-63.3282","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001311-MISC","Mada","Bank Charge","0022555612015"
"-42.3384","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001312-MISC","Mada","Bank Charge","0022555612015"
"-83.5659","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001313-MISC","Mada","Bank Charge","0022555612015"
"-55.8831","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001314-MISC","Mada","Bank Charge","0022555612015"
"-80.3505","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001315-MISC","Mada","Bank Charge","0022555612015"
"-81.4131","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001316-MISC","Mada","Bank Charge","0022555612015"
"-73.2987","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001317-MISC","Mada","Bank Charge","0022555612015"
"-84.6492","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001318-MISC","Mada","Bank Charge","0022555612015"
"-34.2102","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001319-MISC","Mada","Bank Charge","0022555612015"
"-26.8824","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001320-MISC","Mada","Bank Charge","0022555612015"
"-53.7027","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001321-MISC","Mada","Bank Charge","0022555612015"
"-21.9075","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001322-MISC","Mada","Bank Charge","0022555612015"
"-16.3737","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001323-MISC","Mada","Bank Charge","0022555612015"
"-19.4856","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001324-MISC","Mada","Bank Charge","0022555612015"
"-23.5428","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001325-MISC","Mada","Bank Charge","0022555612015"
"-27.6138","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001326-MISC","Mada","Bank Charge","0022555612015"
