"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-1.2339","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","AMEX-BLKU-0001336-MISC","AMEX","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-2.4679","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","AMEX-BLKU-0001353-MISC","AMEX","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-12.7224","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","AMEX-BLKU-0001361-MISC","AMEX","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-72.7812","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001331-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-59.2296","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001332-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-79.695","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001333-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-82.9863","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001335-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-67.4199","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001336-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-115.0713","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001337-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-115.4784","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001339-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-154.0632","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001340-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-136.3785","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001341-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-115.2438","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001344-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-126.3528","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001345-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-106.1772","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001439-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-137.4411","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001348-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-137.6274","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001349-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-234.7242","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001351-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-75.5964","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001353-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-27.7173","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001354-MISC","Mada","Bank Charge","AL Jazeerah BankHAMDANIIYA"
