"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-39.1989","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001331-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-40.204","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001332-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-61.9229","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001333-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-34.3919","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001335-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-63.8238","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001336-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-45.9942","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001337-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-45.4043","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001339-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-74.2681","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001340-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-90.0001","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001341-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-62.9498","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001344-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-84.4939","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001345-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-84.9309","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001439-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-82.3745","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001348-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-117.6404","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001349-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-101.5369","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001351-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-63.0154","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001353-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-19.0095","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0001354-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-23.6198","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001355-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-9.7014","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001356-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-11.209","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001357-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-13.8529","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001358-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-33.6272","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001359-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-22.2651","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001360-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-6.6424","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001361-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-31.748","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001365-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
"-9.1114","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001366-MISC","Visa","Bank Charge","AL Jazeerah BankHAMDANIIYA"
