"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-28.2957","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0008302-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-28.9731","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0008303-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-44.0059","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0008304-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-67.8661","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0008305-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-20.9978","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0008307-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-72.8697","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0008308-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-60.1312","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0008309-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-43.5033","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0008310-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-53.4888","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0008311-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-58.6017","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0008313-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-41.8646","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0008315-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-73.1756","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0008317-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-61.3329","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0008319-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-171.1073","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0008321-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-132.4984","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0008322-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-33.9112","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0008323-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-17.2615","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0008324-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-51.7189","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0008325-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-12.7167","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0008327-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-42.4982","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0008328-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-11.0561","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0008329-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-21.5222","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0008330-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-14.9235","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0008331-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-33.7145","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0008332-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-16.3656","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0008334-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
"-42.1268","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0008335-MISC","Visa","Bank Charge","0157-95017321-JEDMNDARIN"
