"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-140.4426","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0008003-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-154.6152","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0008004-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-150.8547","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0008005-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-147.2874","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0008006-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-143.0439","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0008007-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-165.0135","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0008008-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-178.5306","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0008009-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-96.1791","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-PAYMENT-JURIMALL/73747-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-130.9413","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-PAYMENT-JURIMALL/73920-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-188.5839","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-PAYMENT-JURIMALL/74145-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-159.4107","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-PAYMENT-JURIMALL/74328-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-171.6927","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-PAYMENT-JURIMALL/74524-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-194.3316","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-PAYMENT-JURIMALL/74753-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-66.3918","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-PAYMENT-JURIMALL/74870-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-234.6138","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-PAYMENT-JURIMALL/75076-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.609","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-PAYMENT-JURIMALL/75142-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.1559","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-PAYMENT-JURIMALL/75179-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.5862","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-PAYMENT-JURIMALL/75228-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-25.0263","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-PAYMENT-JURIMALL/75269-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.5556","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-PAYMENT-JURIMALL/75316-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.7488","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-PAYMENT-JURIMALL/75358-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-51.9984","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-PAYMENT-JURIMALL/75406-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.5745","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-PAYMENT-JURIMALL/75467-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-36.1905","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-PAYMENT-JURIMALL/75523-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-24.9366","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-PAYMENT-JURIMALL/75558-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.048","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-PAYMENT-JURIMALL/73302 REFUND-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-20.5137","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-PAYMENT-JURIMALL/75618-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-20.9323","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0008003-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-39.8107","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0008004-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-5.7684","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0008005-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-14.6176","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0008006-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-4.8507","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0008007-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-9.2862","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-PAYMENT-JURIMALL/73747-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-7.5382","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-PAYMENT-JURIMALL/73920-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.6584","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-PAYMENT-JURIMALL/74145-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.0597","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-PAYMENT-JURIMALL/74328-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-9.4392","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-PAYMENT-JURIMALL/74524-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
