"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-21.2324","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","AMEX-BLKU-0000701-MISC","AMEX","Bank Charge","0022555612014"
"-15.7009","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","AMEX-BLKU-0000705-MISC","AMEX","Bank Charge","0022555612014"
"-8.4674","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","AMEX-BLKU-0000706-MISC","AMEX","Bank Charge","0022555612014"
"-42.6351","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","AMEX-BLKU-0000708-MISC","AMEX","Bank Charge","0022555612014"
"-59.3572","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","AMEX-BLKU-0000710-MISC","AMEX","Bank Charge","0022555612014"
"-30.5934","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","AMEX-BLKU-0000713-MISC","AMEX","Bank Charge","0022555612014"
"-85.4829","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","AMEX-BLKU-0000714-MISC","AMEX","Bank Charge","0022555612014"
"-20.1687","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","AMEX-BLKU-0000715-MISC","AMEX","Bank Charge","0022555612014"
"-12.7224","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","AMEX-BLKU-0000716-MISC","AMEX","Bank Charge","0022555612014"
"-33.5719","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","AMEX-BLKU-0000718-MISC","AMEX","Bank Charge","0022555612014"
"-14.3819","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","AMEX-BLKU-0000723-MISC","AMEX","Bank Charge","0022555612014"
