"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-54.6468","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0004120-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-81.8719","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0004121-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-104.0934","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0004122-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-72.8697","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0004125-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-147.2034","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0004126-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-120.9179","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0004128-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-92.7751","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0004131-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-113.0956","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0004133-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-198.0484","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0004134-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-68.3905","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0004135-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-128.1721","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0004136-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-216.5116","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0004138-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-156.446","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0004139-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-151.9886","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0004140-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-215.2006","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0004142-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-84.9309","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0004143-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-56.0889","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0004144-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-35.834","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0004145-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-79.2281","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0004146-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-100.0293","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0004148-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-142.1561","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0004149-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-37.2542","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0004150-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-47.3052","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0004151-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-35.1129","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0004152-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-36.8609","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0004154-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-38.6308","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0004155-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
"-23.7291","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0004156-MISC","Visa","Bank Charge","157-95017321-MAKSHOUQ"
