"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-10.1361","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001947-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-26.5788","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001948-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-24.7434","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001949-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-18.9267","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001950-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-13.1721","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001951-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-12.282","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001952-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-16.6428","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001953-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-12.8064","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001954-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-40.0476","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001955-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-36.5838","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001956-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-38.9091","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001957-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-41.9934","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001958-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-29.7045","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001959-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-36.7149","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001961-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-61.6032","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001962-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-26.5374","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001963-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-36.8253","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001964-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-14.5314","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001965-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-29.6424","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001966-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-20.8104","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001967-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-22.5975","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001968-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-15.4629","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001969-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-14.8419","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001970-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-8.7906","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001971-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-2.2632","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001972-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-2.9325","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001973-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
"-1.4421","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001974-MISC","Mada","Bank Charge","157-95017321-MEDMVNPICK"
