"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-11.7334","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0006400-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-7.8004","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0006401-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-14.2025","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0006402-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-7.8004","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0006403-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-20.102","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0006404-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-24.5375","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0006405-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-18.9876","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0006406-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-41.8646","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0006407-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-15.8194","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0006408-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-98.5653","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0006410-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-20.3423","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0006411-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-7.6038","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0006412-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-23.1828","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0006413-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-39.1989","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0006414-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-23.9039","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0006415-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-19.8179","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0006416-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-18.8128","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0006417-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-6.5331","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0006418-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-6.5331","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0006419-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-60.0219","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0006420-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-9.4611","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0006421-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-113.2922","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0006422-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-22.134","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0006423-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-16.9774","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0006424-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-27.5528","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0006425-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
"-60.59","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0006426-MISC","Master","Bank Charge","157-95017321-MEDSULTANA"
