"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-41.1872","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0006400-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-53.8384","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0006401-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-126.4022","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0006402-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-39.9636","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0006403-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-92.491","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0006404-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-60.0656","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0006405-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-62.8624","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0006406-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-60.5245","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0006407-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-33.7582","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0006408-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-56.4167","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0006409-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-74.7051","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0006410-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-87.9899","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0006411-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-118.5799","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0006412-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-105.0985","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0006413-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-65.6374","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0006414-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-48.3977","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0006415-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-26.2418","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0006416-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-26.8755","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0006417-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-16.5623","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0006418-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-21.8063","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0006419-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-22.2214","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0006420-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-40.0947","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0006421-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-16.89","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0006422-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-26.0015","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0006423-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-13.0663","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0006424-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-23.2047","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0006425-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
"-19.3373","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0006426-MISC","Visa","Bank Charge","157-95017321-MEDSULTANA"
