"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-70.4214","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0006427-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-86.7123","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0006428-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-63.7284","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0006429-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-64.5081","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0006430-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-75.6102","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0006431-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-82.2618","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0006432-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-56.7594","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0006433-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-73.3401","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0006434-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-72.8985","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0006435-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-102.2097","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0006436-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-109.7169","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0006437-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-92.7912","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0006438-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-70.0971","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0006439-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-103.5759","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0006440-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-142.5471","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0006441-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-51.5085","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0006442-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-14.6487","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0006443-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-20.5068","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0006444-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-24.8055","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0006445-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
"-10.4811","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0006446-MISC","Mada","Bank Charge","157-95017321-MILAQROTAB"
