"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-67.206","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0008225-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-65.5017","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0008226-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-101.3403","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0008227-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-69.5451","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0008229-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-99.7326","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0008230-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-115.8993","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0008232-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-82.8345","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0008233-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-59.6643","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0008234-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-64.1976","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0008235-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-125.1867","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0008237-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-141.0291","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0008239-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-98.6148","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0008240-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-103.7553","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0008242-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-96.0756","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0008243-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-148.7502","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0008245-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-26.2821","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0008246-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-15.7803","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0008247-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-31.8504","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0008248-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
"-17.9469","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0008249-MISC","Mada","Bank Charge","0157-95017321-MURJANJED"
