"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-27.5379","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0006513-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-36.8667","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0006514-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-23.3358","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0006515-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-30.4428","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0006516-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-30.5325","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0006517-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-10.9296","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0006518-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-25.8612","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0006519-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-24.3708","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0006520-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-32.1471","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0006521-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-29.5803","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0006522-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-37.9293","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0006523-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-21.9765","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0006524-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-46.3266","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0006525-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-45.8022","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0006526-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-55.4829","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0006527-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-20.8449","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0006528-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-6.8586","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0006529-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-3.4707","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0006530-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-2.2149","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0006531-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-1.7112","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0006532-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-0.345","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0006533-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-13.0962","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0006534-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-7.2243","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0006535-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-5.727","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0006536-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-5.9133","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0006537-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-1.3731","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0006538-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
"-5.9685","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0006539-MISC","Mada","Bank Charge","157-95017321-NAJKINGROD"
