"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-7.2979","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0004473-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-4.3481","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0004475-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-10.2476","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0004476-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-6.5331","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0004480-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-11.9738","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0004481-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-22.3307","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0004482-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-17.4363","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0004483-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-4.9381","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0004484-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-6.5331","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0004487-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-6.0087","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0004488-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-6.5113","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0004489-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-3.496","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0004490-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
"-2.1631","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0004495-MISC","Master","Bank Charge","157-95017321-NAJRANPLZA"
