"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-30.5187","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0004469-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-16.8429","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0004470-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-25.9716","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0004471-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-34.2309","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0004472-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-50.301","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0004473-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-38.1501","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0004474-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-37.6947","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0004475-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-44.5602","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0004476-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-20.2515","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0004477-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-34.914","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0004478-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-31.7331","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0004479-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-49.7283","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0004480-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-60.3888","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0004481-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-96.5448","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0004482-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-67.1025","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0004483-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-22.356","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0004484-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-8.6871","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0004485-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-20.7207","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0004486-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-7.1622","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0004487-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-12.3924","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0004488-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-25.9095","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0004489-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-16.3392","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0004490-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-18.1401","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0004491-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-8.0385","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0004492-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-9.3564","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0004493-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-6.9552","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0004494-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
"-10.9986","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0004495-MISC","Mada","Bank Charge","157-95017321-NAJRANPLZA"
