"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-45.7102","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0002013-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-10.8813","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0002015-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-67.6476","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0002016-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-26.9629","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0002017-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-58.9076","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0002018-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-11.8645","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0002019-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-59.1479","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0002020-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-65.3533","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0002022-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-16.6497","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0002023-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-58.9731","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0002024-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-53.4451","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0002026-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-49.7743","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0002028-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-94.9601","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0002030-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-90.5027","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0002031-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-52.4181","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0002032-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-15.5572","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0002033-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-12.9789","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0002034-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-66.8391","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0002035-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-50.102","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0002036-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-6.7953","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0002037-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-23.6417","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0002038-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-29.9563","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0002039-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-17.3926","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0002040-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-1.2673","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0002041-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-19.5776","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0002042-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-33.7582","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0002043-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
"-20.3642","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0002044-MISC","Master","Bank Charge","AL Jazeerah Bank NAKHDMM"
