"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-9.7865","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","AMEX-BLKU-0002066-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-12.7224","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","AMEX-BLKU-0002072-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.1899","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","AMEX-BLKU-0002073-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.8493","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","AMEX-BLKU-0002074-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-53.4853","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","AMEX-BLKU-0002077-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-4.255","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","AMEX-BLKU-0002078-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-8.4674","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","AMEX-BLKU-0002080-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.9774","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","AMEX-BLKU-0002081-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-6.3399","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","AMEX-BLKU-0002083-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.5298","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","AMEX-BLKU-0002084-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-1.2339","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","AMEX-BLKU-0002085-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-119.8047","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0002063-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-157.8099","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0002064-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-168.9534","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0002065-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-148.6743","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0002066-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-115.4025","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0002067-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-153.2835","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0002068-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-193.4553","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0002069-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-127.8846","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0002070-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-178.6479","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0002071-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-243.7632","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0002072-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
