"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-56.8974","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0002063-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-107.7642","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0002064-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-58.9076","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0002065-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-50.8012","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0002066-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-32.5784","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0002067-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-42.5856","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0002068-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-42.3234","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0002069-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-14.9672","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0002070-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-53.9913","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0002071-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-115.7176","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0002072-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-40.6628","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0002073-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-105.601","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0002074-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-41.7116","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0002075-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-32.7968","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0002077-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-81.6971","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0002078-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-65.113","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0002079-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.1908","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0002080-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.6213","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0002081-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-31.7043","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0002082-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-23.161","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0002083-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-26.067","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0002084-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.3154","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0002085-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-77.8516","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0002086-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-14.1588","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0002087-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-3.933","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0002088-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-3054.63","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0002089-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.8682","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0002090-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
