"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-94.1436","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0002107-MISC","Mada","Bank Charge","1831441329940"
"-116.6859","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0002108-MISC","Mada","Bank Charge","1831441329940"
"-78.0045","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0002109-MISC","Mada","Bank Charge","1831441329940"
"-95.1924","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0002110-MISC","Mada","Bank Charge","1831441329940"
"-105.5631","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0002111-MISC","Mada","Bank Charge","1831441329940"
"-124.959","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0002112-MISC","Mada","Bank Charge","1831441329940"
"-146.5698","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0002113-MISC","Mada","Bank Charge","1831441329940"
"-106.9638","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0002114-MISC","Mada","Bank Charge","1831441329940"
"-80.5989","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0002115-MISC","Mada","Bank Charge","1831441329940"
"-104.7213","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0002116-MISC","Mada","Bank Charge","1831441329940"
"-125.5731","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0002117-MISC","Mada","Bank Charge","1831441329940"
"-135.7575","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0002118-MISC","Mada","Bank Charge","1831441329940"
"-152.3934","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0002119-MISC","Mada","Bank Charge","1831441329940"
"-122.5371","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0002120-MISC","Mada","Bank Charge","1831441329940"
"-186.1413","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0002121-MISC","Mada","Bank Charge","1831441329940"
"-50.7564","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0002122-MISC","Mada","Bank Charge","1831441329940"
"-13.8138","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0002123-MISC","Mada","Bank Charge","1831441329940"
"-21.3831","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0002124-MISC","Mada","Bank Charge","1831441329940"
"-19.4166","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0002125-MISC","Mada","Bank Charge","1831441329940"
"-37.0323","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0002126-MISC","Mada","Bank Charge","1831441329940"
"-8.694","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0002127-MISC","Mada","Bank Charge","1831441329940"
"-35.3901","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0002128-MISC","Mada","Bank Charge","1831441329940"
"-35.5143","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0002129-MISC","Mada","Bank Charge","1831441329940"
"-33.2028","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0002130-MISC","Mada","Bank Charge","1831441329940"
"-19.7892","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0002131-MISC","Mada","Bank Charge","1831441329940"
"-31.0431","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0002132-MISC","Mada","Bank Charge","1831441329940"
"-29.1111","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0002133-MISC","Mada","Bank Charge","1831441329940"
