"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-12.6799","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","AMEX-BLKU-0002108-MISC","AMEX","Bank Charge","1831441329940"
"-38.0397","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","AMEX-BLKU-0002109-MISC","AMEX","Bank Charge","1831441329940"
"-13.9564","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","AMEX-BLKU-0002111-MISC","AMEX","Bank Charge","1831441329940"
"-8.4674","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","AMEX-BLKU-0002112-MISC","AMEX","Bank Charge","1831441329940"
"-8.4674","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","AMEX-BLKU-0002121-MISC","AMEX","Bank Charge","1831441329940"
"-42.4649","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","AMEX-BLKU-0002127-MISC","AMEX","Bank Charge","1831441329940"
"-67.8247","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","AMEX-BLKU-0002130-MISC","AMEX","Bank Charge","1831441329940"
"-94.1436","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0002107-MISC","Mada","Bank Charge","1831441329940"
"-116.6859","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0002108-MISC","Mada","Bank Charge","1831441329940"
"-78.0045","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0002109-MISC","Mada","Bank Charge","1831441329940"
"-95.1924","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0002110-MISC","Mada","Bank Charge","1831441329940"
"-105.5631","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0002111-MISC","Mada","Bank Charge","1831441329940"
"-124.959","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0002112-MISC","Mada","Bank Charge","1831441329940"
"-146.5698","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0002113-MISC","Mada","Bank Charge","1831441329940"
"-106.9638","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0002114-MISC","Mada","Bank Charge","1831441329940"
