"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-17.043","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0004534-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-51.0634","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0004535-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-23.5543","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0004536-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-33.6272","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0004538-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-54.2754","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0004539-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-4.3481","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0004540-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-27.4217","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0004541-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-20.8449","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0004542-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-18.6162","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0004543-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-67.2543","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0004544-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-41.6898","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0004545-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-66.1837","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0004546-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-58.2958","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0004547-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-101.9084","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0004548-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-79.5122","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0004549-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-150.175","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0004550-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-37.5383","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0004552-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-68.5216","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0004553-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-40.8376","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0004554-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-21.1945","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0004556-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-18.5069","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0004557-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-24.6249","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0004558-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-32.775","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0004559-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-30.4589","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0004560-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-4.2607","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0004561-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-11.5149","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0004562-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
"-20.7138","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0004563-MISC","Visa","Bank Charge","0157-95017321-QATIFCFRNT"
