"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-25.5208","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0002415-MISC","Visa","Bank Charge","015795017321050"
"-41.2746","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0002416-MISC","Visa","Bank Charge","015795017321050"
"-64.2827","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0002417-MISC","Visa","Bank Charge","015795017321050"
"-31.9228","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0002418-MISC","Visa","Bank Charge","015795017321050"
"-67.298","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0002419-MISC","Visa","Bank Charge","015795017321050"
"-18.0044","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0002420-MISC","Visa","Bank Charge","015795017321050"
"-29.0823","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0002421-MISC","Visa","Bank Charge","015795017321050"
"-51.7845","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0002422-MISC","Visa","Bank Charge","015795017321050"
"-55.2149","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0002423-MISC","Visa","Bank Charge","015795017321050"
"-60.5682","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0002424-MISC","Visa","Bank Charge","015795017321050"
"-56.0452","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0002425-MISC","Visa","Bank Charge","015795017321050"
"-30.2622","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0002426-MISC","Visa","Bank Charge","015795017321050"
"-31.8791","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0002427-MISC","Visa","Bank Charge","015795017321050"
"-105.601","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0002428-MISC","Visa","Bank Charge","015795017321050"
"-66.5769","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0002429-MISC","Visa","Bank Charge","015795017321050"
"-38.019","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0002430-MISC","Visa","Bank Charge","015795017321050"
"-2.5128","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0002431-MISC","Visa","Bank Charge","015795017321050"
"-16.8682","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0002432-MISC","Visa","Bank Charge","015795017321050"
"-19.3154","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0002433-MISC","Visa","Bank Charge","015795017321050"
"-11.3183","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0002434-MISC","Visa","Bank Charge","015795017321050"
"-12.0393","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0002435-MISC","Visa","Bank Charge","015795017321050"
"-17.9825","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0002436-MISC","Visa","Bank Charge","015795017321050"
"-27.2688","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0002437-MISC","Visa","Bank Charge","015795017321050"
"-1.9009","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0002438-MISC","Visa","Bank Charge","015795017321050"
"-11.7553","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0002439-MISC","Visa","Bank Charge","015795017321050"
"-26.6351","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0002440-MISC","Visa","Bank Charge","015795017321050"
"-10.9031","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0002441-MISC","Visa","Bank Charge","015795017321050"
