"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-6.3399","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","AMEX-BLKU-0002478-MISC","AMEX","Bank Charge","015795017321051"
"-66.3987","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0002463-MISC","Mada","Bank Charge","015795017321051"
"-46.7682","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0002465-MISC","Mada","Bank Charge","015795017321051"
"-42.7662","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0002466-MISC","Mada","Bank Charge","015795017321051"
"-56.8629","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0002467-MISC","Mada","Bank Charge","015795017321051"
"-62.5209","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0002468-MISC","Mada","Bank Charge","015795017321051"
"-58.098","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0002469-MISC","Mada","Bank Charge","015795017321051"
"-67.8132","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0002470-MISC","Mada","Bank Charge","015795017321051"
"-71.2494","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0002471-MISC","Mada","Bank Charge","015795017321051"
"-48.9762","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0002472-MISC","Mada","Bank Charge","015795017321051"
"-39.675","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0002473-MISC","Mada","Bank Charge","015795017321051"
"-39.3783","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0002474-MISC","Mada","Bank Charge","015795017321051"
"-95.6892","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0002476-MISC","Mada","Bank Charge","015795017321051"
