"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-66.3987","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0002463-MISC","Mada","Bank Charge","015795017321051"
"-46.7682","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0002465-MISC","Mada","Bank Charge","015795017321051"
"-42.7662","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0002466-MISC","Mada","Bank Charge","015795017321051"
"-56.8629","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0002467-MISC","Mada","Bank Charge","015795017321051"
"-62.5209","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0002468-MISC","Mada","Bank Charge","015795017321051"
"-58.098","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0002469-MISC","Mada","Bank Charge","015795017321051"
"-67.8132","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0002470-MISC","Mada","Bank Charge","015795017321051"
"-71.2494","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0002471-MISC","Mada","Bank Charge","015795017321051"
"-48.9762","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0002472-MISC","Mada","Bank Charge","015795017321051"
"-39.675","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0002473-MISC","Mada","Bank Charge","015795017321051"
"-39.3783","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0002474-MISC","Mada","Bank Charge","015795017321051"
"-95.6892","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0002476-MISC","Mada","Bank Charge","015795017321051"
"-56.9181","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0002478-MISC","Mada","Bank Charge","015795017321051"
"-84.6561","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0002479-MISC","Mada","Bank Charge","015795017321051"
"-107.3778","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0002481-MISC","Mada","Bank Charge","015795017321051"
"-19.5201","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0002482-MISC","Mada","Bank Charge","015795017321051"
"-5.4441","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0002483-MISC","Mada","Bank Charge","015795017321051"
"-17.8641","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0002484-MISC","Mada","Bank Charge","015795017321051"
"-9.3357","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0002485-MISC","Mada","Bank Charge","015795017321051"
"-9.4737","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0002486-MISC","Mada","Bank Charge","015795017321051"
"-8.8182","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0002487-MISC","Mada","Bank Charge","015795017321051"
"-14.1243","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0002488-MISC","Mada","Bank Charge","015795017321051"
"-16.8567","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0002489-MISC","Mada","Bank Charge","015795017321051"
"-19.1406","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0002490-MISC","Mada","Bank Charge","015795017321051"
"-7.7211","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0002491-MISC","Mada","Bank Charge","015795017321051"
"-8.5974","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0002492-MISC","Mada","Bank Charge","015795017321051"
"-12.972","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0002493-MISC","Mada","Bank Charge","015795017321051"
