"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-35.5718","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0002506-MISC","Visa","Bank Charge","015795017321052"
"-32.5128","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0002507-MISC","Visa","Bank Charge","015795017321052"
"-74.0715","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0002508-MISC","Visa","Bank Charge","015795017321052"
"-49.9054","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0002509-MISC","Visa","Bank Charge","015795017321052"
"-41.8209","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0002510-MISC","Visa","Bank Charge","015795017321052"
"-45.2076","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0002511-MISC","Visa","Bank Charge","015795017321052"
"-84.8872","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0002512-MISC","Visa","Bank Charge","015795017321052"
"-31.2673","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0002513-MISC","Visa","Bank Charge","015795017321052"
"-42.5419","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0002514-MISC","Visa","Bank Charge","015795017321052"
"-43.3067","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0002515-MISC","Visa","Bank Charge","015795017321052"
"-37.9971","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0002516-MISC","Visa","Bank Charge","015795017321052"
"-51.9374","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0002517-MISC","Visa","Bank Charge","015795017321052"
"-75.5354","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0002518-MISC","Visa","Bank Charge","015795017321052"
"-61.0707","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0002519-MISC","Visa","Bank Charge","015795017321052"
"-121.3112","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0002520-MISC","Visa","Bank Charge","015795017321052"
"-12.1923","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0002521-MISC","Visa","Bank Charge","015795017321052"
"-10.8813","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0002523-MISC","Visa","Bank Charge","015795017321052"
"-25.4771","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0002524-MISC","Visa","Bank Charge","015795017321052"
"-45.5135","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0002525-MISC","Visa","Bank Charge","015795017321052"
"-42.9134","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0002526-MISC","Visa","Bank Charge","015795017321052"
"-18.7254","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0002527-MISC","Visa","Bank Charge","015795017321052"
"-27.3125","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0002528-MISC","Visa","Bank Charge","015795017321052"
"-16.7371","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0002529-MISC","Visa","Bank Charge","015795017321052"
"-19.1624","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0002530-MISC","Visa","Bank Charge","015795017321052"
"-47.3489","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0002532-MISC","Visa","Bank Charge","015795017321052"
"-6.8609","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0002533-MISC","Visa","Bank Charge","015795017321052"
"-18.9439","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0002534-MISC","Visa","Bank Charge","015795017321052"
