"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-62.721","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0004567-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-43.8564","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0004568-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-64.3908","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0004569-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-48.2448","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0004570-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-27.4551","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0004571-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-42.6282","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0004572-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-37.2324","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0004573-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-49.4523","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0004574-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-56.2488","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0004575-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-86.2293","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0004576-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-58.167","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0004577-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-124.2345","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0004578-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-112.263","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0004579-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-104.5419","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0004580-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-134.5983","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0004581-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-30.1737","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0004582-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-8.0523","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0004583-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-24.0327","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0004584-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-16.8222","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0004585-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-15.3111","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0004586-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-10.0257","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0004587-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-22.0179","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0004588-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-21.7833","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0004589-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-8.7354","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0004590-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-6.7068","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0004591-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-13.3032","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0004592-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
"-6.5757","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0004593-MISC","Mada","Bank Charge","0157-95017321-RASSBULVRD"
