"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-34.1952","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0004567-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-17.9607","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0004569-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-11.3838","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0004570-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-15.9942","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0004571-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-44.574","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0004573-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-19.5557","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0004574-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-13.6781","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0004575-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-36.5113","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0004576-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-13.0444","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0004577-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-26.067","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0004578-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-21.9155","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0004579-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-68.8494","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0004580-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-25.5863","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0004581-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-7.866","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0004583-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-26.1544","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0004584-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-4.3481","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0004585-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-12.6511","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0004586-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-12.3671","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0004588-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-16.016","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0004589-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-15.2294","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0004590-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-4.3481","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0004591-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-3.496","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0004592-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
"-14.705","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0004593-MISC","Master","Bank Charge","157-95017321-RYDALYAPLZ"
