"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-2.4679","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","AMEX-BLKU-0001526-MISC","AMEX","Bank Charge","AL Jazeerah BankRYDPARK"
"-12.7224","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","AMEX-BLKU-0001527-MISC","AMEX","Bank Charge","AL Jazeerah BankRYDPARK"
"-2.5104","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","AMEX-BLKU-0001530-MISC","AMEX","Bank Charge","AL Jazeerah BankRYDPARK"
"-6.3399","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","AMEX-BLKU-0001534-MISC","AMEX","Bank Charge","AL Jazeerah BankRYDPARK"
"-7.9143","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","AMEX-BLKU-0001536-MISC","AMEX","Bank Charge","AL Jazeerah BankRYDPARK"
"-7.2335","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","AMEX-BLKU-0001539-MISC","AMEX","Bank Charge","AL Jazeerah BankRYDPARK"
"-51.7707","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001518-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-52.7298","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001519-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-58.8432","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001520-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-57.0078","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001521-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-54.3927","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001522-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-64.7358","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001523-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-55.0206","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001524-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-51.6672","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001525-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-81.0819","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001526-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-89.8035","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001527-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-79.5777","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001528-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-47.9619","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001529-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-84.0075","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001530-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-74.2371","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001531-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-79.2534","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001533-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-27.8553","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001534-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-24.5571","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001535-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-33.4719","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001536-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
"-28.3797","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001537-MISC","Mada","Bank Charge","AL Jazeerah BankRYDPARK"
