"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-8.1719","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001519-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-38.8712","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001520-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-11.0998","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0001521-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-11.362","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001522-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-13.1319","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001523-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-12.2142","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001524-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-13.0444","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001525-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-32.3161","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001526-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-58.7983","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001527-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-37.429","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001528-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-17.4144","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0001529-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-8.7181","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0001530-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-23.5106","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001531-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-16.3875","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0001533-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-21.9155","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0001534-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-27.0284","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0001535-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-9.3955","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0001537-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-12.8696","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0001538-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-45.9942","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0001539-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-11.3838","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0001541-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-36.6424","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0001542-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-7.4945","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001544-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
"-8.6963","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0001545-MISC","Master","Bank Charge","AL Jazeerah BankRYDPARK"
