"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-6.808","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","AMEX-BLKU-0001573-MISC","AMEX","Bank Charge","AL Jazeerah RYDSHIFA"
"-66.7368","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001556-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-87.3126","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001557-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-78.246","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001558-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-76.7004","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001559-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-112.0629","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001560-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-78.6462","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001561-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-45.747","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001562-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-65.7639","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001564-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-66.9162","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001565-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-54.9999","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001566-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-129.3336","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001567-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-124.6692","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001569-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-150.696","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001570-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
"-129.6234","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001571-MISC","Mada","Bank Charge","AL Jazeerah RYDSHIFA"
