"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-84.801","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0004698-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-52.164","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0004699-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-62.8314","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0004700-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-47.1201","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0004701-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-82.386","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0004702-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-74.244","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0004703-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-77.4456","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0004704-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-35.0037","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0004705-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-47.3823","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0004706-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-55.3449","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0004707-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-90.666","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0004708-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-131.7072","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0004709-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-100.5192","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0004710-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-110.4414","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0004711-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-129.8511","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0004712-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-49.6869","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0004713-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-8.2869","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0004714-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-7.9074","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0004715-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-3.1119","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0004716-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-4.3608","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0004717-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-5.5545","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0004718-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-29.394","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0004719-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-6.2376","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0004720-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-18.7542","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0004721-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-19.5201","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0004722-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-14.0967","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0004723-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
"-15.6216","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0004724-MISC","Mada","Bank Charge","157-95017321-SABIAYASMN"
