"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-142.9197","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001603-MISC","Mada","Bank Charge","015795017321009"
"-101.5818","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001604-MISC","Mada","Bank Charge","015795017321009"
"-112.5735","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001605-MISC","Mada","Bank Charge","015795017321009"
"-80.4885","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001606-MISC","Mada","Bank Charge","015795017321009"
"-164.6478","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001607-MISC","Mada","Bank Charge","015795017321009"
"-123.7515","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001608-MISC","Mada","Bank Charge","015795017321009"
"-257.922","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001609-MISC","Mada","Bank Charge","015795017321009"
"-100.7331","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001610-MISC","Mada","Bank Charge","015795017321009"
"-128.823","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001611-MISC","Mada","Bank Charge","015795017321009"
"-123.6825","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001612-MISC","Mada","Bank Charge","015795017321009"
"-134.1705","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001613-MISC","Mada","Bank Charge","015795017321009"
"-108.3714","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001614-MISC","Mada","Bank Charge","015795017321009"
"-116.6376","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001615-MISC","Mada","Bank Charge","015795017321009"
"-123.9378","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001616-MISC","Mada","Bank Charge","015795017321009"
"-125.4006","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001617-MISC","Mada","Bank Charge","015795017321009"
"-67.482","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001618-MISC","Mada","Bank Charge","015795017321009"
"-15.9321","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001619-MISC","Mada","Bank Charge","015795017321009"
"-12.1509","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001620-MISC","Mada","Bank Charge","015795017321009"
"-23.3703","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001621-MISC","Mada","Bank Charge","015795017321009"
"-10.3086","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001622-MISC","Mada","Bank Charge","015795017321009"
"-23.2254","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001623-MISC","Mada","Bank Charge","015795017321009"
"-16.698","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001624-MISC","Mada","Bank Charge","015795017321009"
"-29.8839","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001625-MISC","Mada","Bank Charge","015795017321009"
"-34.362","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001626-MISC","Mada","Bank Charge","015795017321009"
"-45.4779","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001627-MISC","Mada","Bank Charge","015795017321009"
"-23.5428","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001628-MISC","Mada","Bank Charge","015795017321009"
"-8.6457","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001629-MISC","Mada","Bank Charge","015795017321009"
