"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-98.9943","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001646-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-64.7289","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001647-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-89.2308","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001649-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-73.2573","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001651-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-94.1574","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001652-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-106.2324","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001653-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-129.8235","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001655-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-70.8975","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001656-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-94.4058","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001657-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-143.4165","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001658-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-119.3079","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001660-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-102.5547","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001662-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-82.0341","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001664-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-126.1665","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001666-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-135.6195","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001668-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-38.6055","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001669-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-19.8444","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001670-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-27.6","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001671-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-45.747","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001672-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-9.3978","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001673-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-19.7892","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001675-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-28.5177","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001676-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-28.7385","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001678-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-19.9272","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001679-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-51.1221","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001680-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-13.8207","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001681-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
"-11.9853","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001682-MISC","Mada","Bank Charge","015795017321-SALAMRYD2"
