"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-28.3176","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001646-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-10.925","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001647-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-39.5703","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001649-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-7.8441","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001653-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-13.8529","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001655-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-8.6526","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001656-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-0.6336","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001657-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-14.3336","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001658-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-0.6336","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001660-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-30.3933","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0001662-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-31.5951","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001666-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-7.6475","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0001669-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-7.6256","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0001670-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-14.3773","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0001671-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-3.4086","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0001673-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-13.0444","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0001676-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-13.984","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0001679-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
"-7.6256","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001681-MISC","Master","Bank Charge","015795017321-SALAMRYD2"
