"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-17.4144","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0004783-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-11.4712","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0004784-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-22.0903","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0004785-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-12.7385","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0004786-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-24.5157","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0004788-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-17.4363","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0004789-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-19.5339","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0004790-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-2.5128","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0004791-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-20.6482","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0004792-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-5.9869","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0004793-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-42.3453","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0004794-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-13.3941","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0004795-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-31.4203","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0004796-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-11.3838","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0004797-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-11.3838","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0004799-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-1.0706","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0004801-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-2.7312","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0004803-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-3.2556","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0004806-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-2.1631","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0004808-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
"-2.2942","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0004810-MISC","Master","Bank Charge","157-95017321-SMARTSHRYD"
