"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-66.4677","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001736-MISC","Mada","Bank Charge","0157-95017321-000"
"-82.6344","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001737-MISC","Mada","Bank Charge","0157-95017321-000"
"-108.4404","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001738-MISC","Mada","Bank Charge","0157-95017321-000"
"-63.1143","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001739-MISC","Mada","Bank Charge","0157-95017321-000"
"-93.0741","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001740-MISC","Mada","Bank Charge","0157-95017321-000"
"-120.9156","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001741-MISC","Mada","Bank Charge","0157-95017321-000"
"-125.4558","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001742-MISC","Mada","Bank Charge","0157-95017321-000"
"-88.6581","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001743-MISC","Mada","Bank Charge","0157-95017321-000"
"-123.7308","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001744-MISC","Mada","Bank Charge","0157-95017321-000"
"-103.4517","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001745-MISC","Mada","Bank Charge","0157-95017321-000"
"-87.0573","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001746-MISC","Mada","Bank Charge","0157-95017321-000"
"-180.1659","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001747-MISC","Mada","Bank Charge","0157-95017321-000"
"-174.0732","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001748-MISC","Mada","Bank Charge","0157-95017321-000"
"-229.77","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001749-MISC","Mada","Bank Charge","0157-95017321-000"
"-227.2722","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001750-MISC","Mada","Bank Charge","0157-95017321-000"
"-123.1305","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001751-MISC","Mada","Bank Charge","0157-95017321-000"
"-28.9317","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001752-MISC","Mada","Bank Charge","0157-95017321-000"
"-27.324","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001753-MISC","Mada","Bank Charge","0157-95017321-000"
"-52.2123","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001754-MISC","Mada","Bank Charge","0157-95017321-000"
"-32.7336","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001755-MISC","Mada","Bank Charge","0157-95017321-000"
"-24.9711","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001756-MISC","Mada","Bank Charge","0157-95017321-000"
"-49.9905","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001757-MISC","Mada","Bank Charge","0157-95017321-000"
"-34.7622","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001758-MISC","Mada","Bank Charge","0157-95017321-000"
"-60.0438","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001759-MISC","Mada","Bank Charge","0157-95017321-000"
"-34.9899","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001760-MISC","Mada","Bank Charge","0157-95017321-000"
"-34.5552","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001761-MISC","Mada","Bank Charge","0157-95017321-000"
"-29.9736","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001762-MISC","Mada","Bank Charge","0157-95017321-000"
"-4.5885","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001736-MISC","Master","Bank Charge","0157-95017321-000"
"-49.3373","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001737-MISC","Master","Bank Charge","0157-95017321-000"
"-5.6154","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001738-MISC","Master","Bank Charge","0157-95017321-000"
"-21.5004","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001740-MISC","Master","Bank Charge","0157-95017321-000"
"-11.2965","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001741-MISC","Master","Bank Charge","0157-95017321-000"
