"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-1.5076","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0007641-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-4.3481","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0007645-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-33.2557","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0007646-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-6.5331","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0007648-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-12.4545","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0007649-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-2.1631","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0007650-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-21.7189","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0007651-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-4.37","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0007652-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-15.6009","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0007653-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-12.7167","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0007654-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-6.5331","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0007655-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-9.4829","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0007656-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-8.3904","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0007658-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
"-6.5331","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0007666-MISC","Master","Bank Charge","015795017321-TAIFTERAML"
