"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-4.2124","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","AMEX-BLKU-0001787-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-6.808","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","AMEX-BLKU-0001795-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.2115","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","AMEX-BLKU-0001803-MISC","AMEX","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-25.806","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001780-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-38.2688","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001781-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.5883","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001782-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-40.7514","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001783-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-60.6441","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001784-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-61.4307","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001786-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-44.5464","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001787-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-42.6075","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001788-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-85.7187","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001789-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-51.5982","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001790-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-57.2976","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001792-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-60.8511","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001793-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-85.7187","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001794-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-46.3818","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001795-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-112.9944","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001796-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.9972","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001797-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-20.7276","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001798-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-13.9449","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001799-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-33.0579","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001800-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-4.0089","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001801-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.2717","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001802-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-35.9766","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001803-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.6443","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001804-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.2939","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001805-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-4.7817","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001806-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-9.3426","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001807-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-5.9409","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001808-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.1347","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001781-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-12.0175","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001782-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-12.2797","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0001783-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-31.9665","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001784-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
