"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-28.2739","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001780-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-66.8396","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001781-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-70.6629","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001782-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-55.1931","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001783-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.3387","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001784-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-90.6556","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001786-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-63.0809","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001787-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-63.4961","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001788-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-48.4851","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001789-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-96.6863","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001790-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-159.9202","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001792-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-58.8202","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001793-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-112.5493","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001794-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-83.2703","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001795-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-191.1219","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001796-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-15.7757","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001797-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.6803","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0001798-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-9.5047","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001799-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-30.5026","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001800-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-13.2848","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001801-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-13.3941","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001802-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.6752","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001803-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.968","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001804-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-12.7167","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001805-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-11.5368","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001806-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-6.5331","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001807-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-15.6446","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001808-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
