"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-18.0262","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0004839-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-6.5331","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0004840-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-41.3839","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0004841-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-5.9869","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0004842-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-9.8325","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0004843-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-13.0226","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0004844-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-8.4122","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0004845-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-5.1129","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0004846-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-27.2251","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0004847-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-41.1654","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0004848-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-19.5994","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0004849-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-22.9206","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0004850-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-48.8566","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0004851-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-5.2003","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0004852-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-16.3001","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0004853-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-2.1631","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0004855-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-19.5776","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0004856-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-6.5331","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0004857-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-5.0255","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0004858-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-6.5768","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0004859-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
"-1.2673","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0004861-MISC","Master","Bank Charge","157-95017321-THEGATERYD"
