"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-25.4449","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","AMEX-BLKU-0004854-MISC","AMEX","Bank Charge","157-95017321-THEGATERYD"
"-25.1712","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0004839-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-33.9756","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0004840-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-28.6212","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0004841-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-35.8041","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0004842-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-27.1446","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0004843-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-41.6139","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0004844-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-36.4527","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0004845-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-31.9263","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0004846-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-31.6434","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0004847-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-34.6035","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0004848-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
"-45.885","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0004849-MISC","Mada","Bank Charge","157-95017321-THEGATERYD"
