"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-34.37","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0004839-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-38.4997","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0004840-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-85.8049","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0004841-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-69.4611","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0004842-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-78.0919","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0004843-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-50.7138","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0004844-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-75.2951","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0004845-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-37.298","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0004846-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-106.2565","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0004847-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-81.7627","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0004848-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-101.668","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0004849-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-59.3664","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0004850-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-96.2492","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0004851-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-68.8275","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0004852-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-112.3308","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0004853-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-90.3279","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0004854-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-8.2811","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0004855-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-55.5208","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0004856-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-15.3168","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0004857-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-8.4996","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0004858-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-17.6548","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0004860-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-7.9097","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0004861-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-17.764","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0004862-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-19.228","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0004863-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-3.8893","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0004864-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
"-1.9009","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0004865-MISC","Visa","Bank Charge","157-95017321-THEGATERYD"
