"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-111.7386","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0004869-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-72.4914","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0004870-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-63.342","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0004871-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-75.1065","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0004872-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-75.0927","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0004873-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-94.2816","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0004874-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-160.4181","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0004875-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-87.6162","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0004876-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-193.8762","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0004878-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-105.8115","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0004879-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-81.5235","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0004880-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-69.5727","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0004881-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-119.646","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0004882-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-143.4717","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0004883-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-193.9038","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0004885-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-60.4302","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0004886-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-23.3082","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0004887-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-33.4788","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0004888-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-20.3067","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0004889-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-30.9672","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0004890-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-26.5443","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0004891-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-112.6977","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0004892-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-72.8916","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0004893-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-36.294","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0004894-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-17.2569","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0004895-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-30.5739","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0004896-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
"-33.0096","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0004897-MISC","Mada","Bank Charge","0157-95017321-TOWNSQJED"
