"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-21.2819","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0004869-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-8.4341","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0004872-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-20.0364","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0004873-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-0.6336","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0004874-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-28.0117","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0004875-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-10.3569","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0004876-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-23.0954","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0004878-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-50.3424","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0004879-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-26.1326","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0004880-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-64.7415","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0004881-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-28.405","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0004882-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-20.2768","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0004883-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-46.8027","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0004885-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-56.1982","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0004888-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-10.3132","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0004889-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-3.2775","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0004890-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-7.1449","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0004891-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-5.7684","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0004893-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-234.7564","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0004894-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-14.9235","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0004896-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
"-15.142","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0004897-MISC","Master","Bank Charge","0157-95017321-TOWNSQJED"
