"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-70.2477","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0004869-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-47.1523","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0004870-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-35.4188","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0004871-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-32.5346","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0004872-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-36.6206","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0004873-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-54.6687","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0004874-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-63.4305","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0004875-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-52.1559","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0004876-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-41.7772","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0004878-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-36.0962","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0004879-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-155.4846","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0004880-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-26.0233","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0004881-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-60.8741","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0004882-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-108.3541","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0004883-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-154.0206","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0004885-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-36.9702","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0004886-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-45.9942","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0004887-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-15.6446","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0004888-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-27.4873","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0004889-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-22.5492","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0004890-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-8.5215","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0004891-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-27.9461","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0004892-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-30.3715","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0004893-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-25.9578","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0004894-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-33.8019","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0004895-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-9.3081","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0004896-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
"-16.4312","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0004897-MISC","Visa","Bank Charge","0157-95017321-TOWNSQJED"
