"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-132.0867","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0001861-MISC","Mada","Bank Charge","015795017321057"
"-101.4369","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0001863-MISC","Mada","Bank Charge","015795017321057"
"-104.9559","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0001865-MISC","Mada","Bank Charge","015795017321057"
"-141.4431","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0001867-MISC","Mada","Bank Charge","015795017321057"
"-135.3297","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0001868-MISC","Mada","Bank Charge","015795017321057"
"-187.9698","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0001870-MISC","Mada","Bank Charge","015795017321057"
"-188.4597","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0001871-MISC","Mada","Bank Charge","015795017321057"
"-124.6002","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0001872-MISC","Mada","Bank Charge","015795017321057"
"-95.6754","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0001873-MISC","Mada","Bank Charge","015795017321057"
"-185.5134","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0001874-MISC","Mada","Bank Charge","015795017321057"
"-156.8232","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0001875-MISC","Mada","Bank Charge","015795017321057"
"-125.58","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0001877-MISC","Mada","Bank Charge","015795017321057"
"-164.6754","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0001878-MISC","Mada","Bank Charge","015795017321057"
"-210.9744","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0001879-MISC","Mada","Bank Charge","015795017321057"
"-180.3384","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0001880-MISC","Mada","Bank Charge","015795017321057"
"-65.9433","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0001881-MISC","Mada","Bank Charge","015795017321057"
"-33.603","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0001882-MISC","Mada","Bank Charge","015795017321057"
"-46.3197","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0001883-MISC","Mada","Bank Charge","015795017321057"
"-38.1915","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0001884-MISC","Mada","Bank Charge","015795017321057"
"-61.9896","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0001885-MISC","Mada","Bank Charge","015795017321057"
"-55.2552","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0001886-MISC","Mada","Bank Charge","015795017321057"
"-70.5318","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0001887-MISC","Mada","Bank Charge","015795017321057"
"-41.745","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0001888-MISC","Mada","Bank Charge","015795017321057"
"-46.9269","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0001889-MISC","Mada","Bank Charge","015795017321057"
"-23.46","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0001890-MISC","Mada","Bank Charge","015795017321057"
"-16.5462","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0001891-MISC","Mada","Bank Charge","015795017321057"
"-23.253","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0001892-MISC","Mada","Bank Charge","015795017321057"
