"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-50.7771","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0007713-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-24.633","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0007714-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-36.639","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0007715-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-41.8899","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0007716-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-42.7662","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0007717-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-69.9591","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0007718-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-52.5849","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0007719-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-26.0268","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0007720-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-30.5808","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0007721-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-52.3296","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0007722-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-42.5523","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0007723-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-55.0206","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0007724-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-52.8195","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0007725-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-57.3183","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0007726-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-71.9601","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0007727-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-10.6674","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0007728-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-6.2859","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0007729-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-6.8724","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0007730-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-9.8256","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0007731-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-7.1277","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0007732-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-3.4362","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0007733-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-15.318","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0007734-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-11.178","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0007735-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-16.3668","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0007736-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-5.3613","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0007737-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-7.6728","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0007738-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-2.9739","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0007739-MISC","Mada","Bank Charge","015795017321-WADIDAWSER"
"-8.6089","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0007719-MISC","Master","Bank Charge","015795017321-WADIDAWSER"
"-6.5331","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0007720-MISC","Master","Bank Charge","015795017321-WADIDAWSER"
"-9.1988","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0007713-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-26.2637","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0007714-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-25.3679","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0007716-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-20.2549","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0007717-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-6.5331","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0007718-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-25.1275","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0007719-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-3.2556","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0007720-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-1.8572","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0007722-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-18.5069","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0007723-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-10.8594","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0007724-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-4.3481","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0007725-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-32.1632","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0007726-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-18.5069","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0007727-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-25.5863","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0007728-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-9.6577","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0007729-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-6.5331","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0007730-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-2.7531","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0007731-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-3.7145","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0007732-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-12.9133","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0007734-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-15.9286","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0007735-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-7.3416","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0007736-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-5.4406","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0007737-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-8.1719","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0007738-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
"-10.488","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0007739-MISC","Visa","Bank Charge","015795017321-WADIDAWSER"
