"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-6.8609","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001902-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.8398","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001903-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-11.8208","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001904-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-49.1407","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0001905-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-2.5128","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001906-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-30.9396","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001907-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-1.4202","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001908-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-9.0677","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001909-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-17.3926","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001911-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.8813","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001912-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-13.0881","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0001913-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-36.9483","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0001914-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-3.1901","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001915-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-28.0335","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0001916-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.8281","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0001917-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-15.142","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0001918-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.0291","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0001919-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.8398","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0001920-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-5.8995","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0001921-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.8594","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0001922-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-7.2979","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0001923-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.5623","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0001924-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-2.1631","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0001926-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-146.9849","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0001928-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
