"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-103.1757","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001378-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-107.1305","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001379-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-91.3767","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001380-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-66.9265","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001381-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-53.8602","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001382-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-51.2382","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001383-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-26.5696","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001384-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-33.4086","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001385-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-24.0131","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001386-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-31.7917","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001387-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-114.778","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001388-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-72.7168","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001390-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-93.6054","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001391-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-62.0103","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001392-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-92.8843","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001393-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-46.9119","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001394-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.1377","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0001395-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-30.8303","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001397-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-20.823","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001398-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.2695","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001399-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-28.8857","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001400-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.1253","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001401-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-38.7837","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001402-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-17.4581","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001403-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-13.0007","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001404-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-19.5994","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001405-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-15.1857","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001406-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
