"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-23.1964","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001423-MISC","Master","Bank Charge","0022555612010"
"-19.0563","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001425-MISC","Master","Bank Charge","0022555612010"
"-39.509","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001426-MISC","Master","Bank Charge","0022555612010"
"-9.2002","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0001427-MISC","Master","Bank Charge","0022555612010"
"-34.2853","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001432-MISC","Master","Bank Charge","0022555612010"
"-38.7409","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001433-MISC","Master","Bank Charge","0022555612010"
"-19.9729","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001434-MISC","Master","Bank Charge","0022555612010"
"-11.9749","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001435-MISC","Master","Bank Charge","0022555612010"
"-14.1396","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001436-MISC","Master","Bank Charge","0022555612010"
"-40.9738","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001437-MISC","Master","Bank Charge","0022555612010"
"-33.481","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001438-MISC","Master","Bank Charge","0022555612010"
"-40.3923","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0001442-MISC","Master","Bank Charge","0022555612010"
"-66.7181","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0001443-MISC","Master","Bank Charge","0022555612010"
"-39.7917","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001444-MISC","Master","Bank Charge","0022555612010"
"-55.5458","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0001446-MISC","Master","Bank Charge","0022555612010"
"-14.1595","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0001447-MISC","Master","Bank Charge","0022555612010"
"-18.0483","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0001449-MISC","Master","Bank Charge","0022555612010"
"-7.6263","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0001450-MISC","Master","Bank Charge","0022555612010"
"-9.3627","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0001454-MISC","Master","Bank Charge","0022555612010"
"-8.2831","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0001455-MISC","Master","Bank Charge","0022555612010"
"-9.7895","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0001456-MISC","Master","Bank Charge","0022555612010"
"-4.3484","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0001457-MISC","Master","Bank Charge","0022555612010"
"-25.2204","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0001458-MISC","Master","Bank Charge","0022555612010"
"-4.3481","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001459-MISC","Master","Bank Charge","0022555612010"
"-16.564","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0001460-MISC","Master","Bank Charge","0022555612010"
