"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-53.1665","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001423-MISC","Visa","Bank Charge","0022555612010"
"-77.7119","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001425-MISC","Visa","Bank Charge","0022555612010"
"-100.7038","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001426-MISC","Visa","Bank Charge","0022555612010"
"-69.1771","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001427-MISC","Visa","Bank Charge","0022555612010"
"-79.9911","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001432-MISC","Visa","Bank Charge","0022555612010"
"-193.1715","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001433-MISC","Visa","Bank Charge","0022555612010"
"-62.0518","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001434-MISC","Visa","Bank Charge","0022555612010"
"-61.9334","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001435-MISC","Visa","Bank Charge","0022555612010"
"-56.5207","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001436-MISC","Visa","Bank Charge","0022555612010"
"-160.6753","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001437-MISC","Visa","Bank Charge","0022555612010"
"-70.6738","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001438-MISC","Visa","Bank Charge","0022555612010"
"-89.7937","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001442-MISC","Visa","Bank Charge","0022555612010"
"-69.7037","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001443-MISC","Visa","Bank Charge","0022555612010"
"-113.4865","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001444-MISC","Visa","Bank Charge","0022555612010"
"-151.3239","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001446-MISC","Visa","Bank Charge","0022555612010"
"-10.0077","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001447-MISC","Visa","Bank Charge","0022555612010"
"-10.2708","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0001448-MISC","Visa","Bank Charge","0022555612010"
"-33.4869","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001449-MISC","Visa","Bank Charge","0022555612010"
"-24.6706","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001450-MISC","Visa","Bank Charge","0022555612010"
"-35.1237","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001451-MISC","Visa","Bank Charge","0022555612010"
"-47.0911","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001454-MISC","Visa","Bank Charge","0022555612010"
"-19.7109","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001455-MISC","Visa","Bank Charge","0022555612010"
"-32.2742","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001456-MISC","Visa","Bank Charge","0022555612010"
"-12.2364","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001457-MISC","Visa","Bank Charge","0022555612010"
"-33.6737","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001458-MISC","Visa","Bank Charge","0022555612010"
"-22.8378","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001459-MISC","Visa","Bank Charge","0022555612010"
"-19.5601","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001460-MISC","Visa","Bank Charge","0022555612010"
